employee_code,work_year,experience_cate,employment_cate,category,job_title,salary_in_usd,remote_ratio,company_cate,company_loc,employee_loc,work_for_home
8391cbbb,2024,mid-level,full_time,Data Managers,Data Strategist,85000,0,medium,United States,United States,Yes
56af2027,2024,senior-level,full_time,AI,Machine Learning Engineer,85000,0,medium,United States,United States,Yes
9a1448cb,2024,entry-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
2c93d3df,2024,senior-level,full_time,AI,Machine Learning Engineer,85000,100,medium,Argentina,Argentina,Yes
f4f2a64e,2024,senior-level,full_time,Business Intelligence,Business Intelligence Engineer,85000,100,medium,United States,United States,Yes
4cd6c318,2024,entry-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
db64dd27,2024,senior-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
6b6b4129,2024,mid-level,full_time,Data Scientist,Data Scientist,85000,0,medium,United States,United States,Yes
411b96f6,2024,mid-level,full_time,Data Scientist,Data Scientist,85000,0,medium,United States,United States,Yes
ee04b2fb,2024,entry-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
32cca0cb,2024,entry-level,full_time,Data Managers,Data Quality Analyst,85000,0,medium,Lebanon,Lebanon,Yes
69b3afc2,2024,mid-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
9da6ad24,2024,mid-level,full_time,AI,Machine Learning Engineer,94444,100,medium,Ireland,Ireland,Yes
0027eab9,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
54e01953,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
ffa919f2,2023,mid-level,full_time,Data Analyst,Data Specialist,85000,0,medium,United States,United States,Yes
573abd82,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
8245241,2023,entry-level,full_time,Business Intelligence,Business Intelligence Analyst,85000,0,medium,United States,United States,Yes
0ba4ac16,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
90853419,2023,entry-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
4f9e5bad,2023,entry-level,full_time,Data Scientist,Data Scientist,85000,0,medium,United States,United States,Yes
24efd938,2023,mid-level,full_time,Data Managers,Data Product Owner,104584,0,medium,United Kingdom,United Kingdom,Yes
6586289e,2023,senior-level,full_time,Data Engineer,Data Engineer,85000,0,medium,United States,United States,Yes
6679b0f2,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
60f5d9c6,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
50f4b31f,2023,mid-level,full_time,Data Engineer,Data Engineer,85000,0,medium,United States,United States,Yes
a94c3c4d,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
9802fa69,2023,entry-level,full_time,Data Engineer,Data Engineer,85000,100,medium,United States,United States,Yes
1266b574,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
52bf0d25,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
932e85fa,2023,mid-level,full_time,AI,ML Engineer,85000,0,medium,United States,United States,Yes
eb1bfa64,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
0229aeb6,2023,mid-level,full_time,AI,ML Engineer,85000,100,medium,United States,United States,Yes
01ce4b6b,2023,senior-level,full_time,Data Engineer,Data Architect,104584,0,medium,United Kingdom,United Kingdom,Yes
66e278c7,2023,mid-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
d362fa2c,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
557550a2,2023,mid-level,full_time,Data Managers,Data Strategist,85000,0,medium,United States,United States,Yes
7.70864E+14,2023,entry-level,full_time,Data Analyst,Data Integration Specialist,85000,0,medium,Canada,Canada,Yes
00d3f617,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
44e0997a,2023,entry-level,full_time,Data Analyst,Data Integration Specialist,85000,0,medium,Canada,Canada,Yes
61c81688,2023,mid-level,full_time,Data Analyst,Data Analytics Lead,104584,0,medium,United Kingdom,United Kingdom,Yes
fdeeeda4,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
2ded31ad,2023,entry-level,full_time,Business Intelligence,BI Data Analyst,85000,100,medium,United States,Canada,No
9cb2abfc,2023,senior-level,full_time,Data Engineer,Principal Data Engineer,91773,100,medium,Spain,Spain,Yes
fe1184ba,2023,mid-level,full_time,Data Engineer,Data Engineer,104584,100,medium,United Kingdom,United Kingdom,Yes
8e00c45e,2023,senior-level,full_time,Data Engineer,Data Engineer,85000,100,medium,United States,United States,Yes
b368e6e5,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
377dca13,2023,senior-level,full_time,Data Analyst,Data Specialist,85000,0,medium,United States,United States,Yes
a83980ad,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,0,medium,United States,United States,Yes
90dbd43d,2023,senior-level,full_time,Data Analyst,Data Analyst,85000,100,medium,United States,United States,Yes
